strain,WBGene00000367,WBGene00001171,WBGene00001187,WBGene00001202,WBGene00002149,WBGene00002235,WBGene00002242,WBGene00003558,WBGene00004830,WBGene00004831,WBGene00006742,WBGene00007176,WBGene00014261,WBGene00022240
AB1,7.475763227638117,6.609741266406939,8.010940830779845,6.909116268905251,6.366323858040786,7.24768719623099,6.476094329815018,6.91287226775468,7.290050652389986,7.7986075796882774,7.98281543024627,6.8605082019268036,7.286336845467064,6.720812313411873
BRC20067,7.848046500815078,6.766599063864459,8.226541397006908,6.800057625946721,6.4592515811239295,7.241994509309404,6.701578127941353,6.776527200235113,7.422236924205335,7.965283998756869,7.86364706786495,7.183942397933886,7.352432931393182,6.704423714609815
BRC20263,7.790544436839173,6.789677085199708,8.183861332968613,6.882219461199134,6.483707710108245,7.298757931264218,6.62890475320205,6.828404907889697,7.363147726177198,7.838929566256114,7.715314869708139,6.953344116429699,7.382198167539741,6.650397741409108
CB4852,8.408436629721418,6.733109146852484,8.767439732230649,7.222220809867824,6.604252690989129,7.403303449667857,6.948105529560634,6.944514274043097,8.036117492774713,8.414580115885574,8.284995705566944,7.313352710381688,7.82586827317831,7.095562047116323
CB4855,7.534205412939367,6.665985851596899,8.201898337466135,6.868785250777632,6.3861042534826105,7.03570425546793,6.574071577646581,6.806538730834416,7.366461524697121,7.829859119131519,7.567930989761194,6.969266583095131,7.194280786513662,6.6677355611218205
CB4856,7.818652391692338,6.679491029555676,7.918287427147878,6.66631012891195,6.3734619145760005,7.146633491189073,6.664696458561255,6.705615746574282,7.385080221502581,7.726173686478018,7.653919623033439,6.9617034872968,7.4154292849668355,6.546083051228531
CB4857,8.423336445042565,6.967667995291886,8.851986424427041,7.152402236671364,6.547302252652952,7.3731927036193055,6.894063695138335,6.919289463501924,8.079250175380746,8.4429837356728,8.361969243869334,7.365999985443238,7.842146382374578,7.09843356382197
CB4858,7.858011671229617,6.624385137752362,8.059756840963537,6.9814655486964075,6.394184378875419,7.1431788865288715,6.676347020809011,6.660191020729941,7.584161956526597,7.869237940932,7.823170444614104,6.948640570747684,7.425511690943691,6.695029772063407
CX11254,8.67601719621707,7.136494475903257,9.288013358941164,7.034449270249766,6.797102162070123,7.8946369454023255,6.888224960460727,7.808008725122694,8.336407298687638,8.75744966531292,8.707872976099559,7.612540724984248,7.743979538736841,7.2523463356369735
CX11262,7.951381370842155,6.855438564624611,8.494597068795489,7.020771508729667,6.495288007920829,7.4358840447781365,6.743391592579461,7.032744979055468,7.807468298139374,8.33735342112285,8.0699276908536,7.297781127891991,7.508888862119106,6.936664335217677
